$:	-1.5	0.80623	[-1, -1, -1, -1, -3, -1, -3, -1, -2, -1]
%)	-0.4	1.0198	[-1, 0, -1, 0, 0, -2, -1, 2, -1, 0]
%-)	-1.5	1.43178	[-2, 0, -2, -2, -1, 2, -2, -3, -2, -3]
&-:	-0.4	1.42829	[-3, -1, 0, 0, -1, -1, -1, 2, -1, 2]
&:	-0.7	0.64031	[0, -1, -1, -1, 1, -1, -1, -1, -1, -1]
( '}{' )	1.6	0.66332	[1, 2, 2, 1, 1, 2, 2, 1, 3, 1]
aggressors	-0.9	1.13578	[-2, -2, -1, -1, -1, 1, 1, 0, -2, -2]
aghast	-1.9	1.04403	[-2, -3, -1, 0, -2, -1, -4, -2, -2, -2]
agitate	-1.7	0.64031	[-2, -2, -3, -1, -1, -1, -2, -1, -2, -2]
agitated	-2.0	0.63246	[-2, -2, -2, -2, -1, -3, -3, -2, -2, -1]
agitatedly	-1.6	0.8	[-1, -2, -1, -3, -1, -3, -1, -1, -2, -1]
agitates	-1.4	0.8	[-2, 0, -1, -2, -1, -1, -3, -1, -2, -1]
agitating	-1.8	0.87178	[-2, -1, -1, -1, -2, -3, -1, -3, -3, -1]
}:-)	0.3	1.61555	[1, 1, -2, 1, -1, -3, 2, 2, 1, 1]





\n\n
